enrollment_id,student_id,section_id,enrollment_status,enrolled_date
1,S0001,1,completed,2023-01-10
2,S0002,1,completed,2023-01-11
3,S0003,1,completed,2023-01-11
4,S0004,1,withdrawn,2023-01-12
5,S0005,2,completed,2023-01-10
6,S0006,2,completed,2023-01-11
7,S0007,2,completed,2023-01-12
8,S0008,3,completed,2023-01-09
9,S0009,3,completed,2023-01-12
10,S0010,3,failed,2023-01-14
11,S0011,4,completed,2023-01-10
12,S0012,4,completed,2023-01-13
13,S0013,5,completed,2023-08-10
14,S0014,5,completed,2023-08-11
15,S0015,5,completed,2023-08-12
16,S0016,5,completed,2023-08-14
17,S0017,6,completed,2023-08-12
18,S0018,6,failed,2023-08-13
19,S0019,6,completed,2023-08-13
20,S0020,7,completed,2023-08-12
21,S0021,7,withdrawn,2023-08-13
22,S0022,8,completed,2023-08-14
23,S0023,8,completed,2023-08-15
24,S0024,9,completed,2023-08-13
25,S0025,9,failed,2023-08-14
26,S0026,10,completed,2024-01-08
27,S0027,10,completed,2024-01-09
28,S0028,10,completed,2024-01-10
29,S0029,11,completed,2024-01-08
30,S0030,11,completed,2024-01-09
31,S0031,11,failed,2024-01-09
32,S0032,12,completed,2024-01-09
33,S0033,12,completed,2024-01-10
34,S0034,13,completed,2024-01-09
35,S0035,13,withdrawn,2024-01-11
36,S0036,14,completed,2024-08-12
37,S0037,14,completed,2024-08-13
38,S0038,14,completed,2024-08-14
39,S0039,14,completed,2024-08-15
40,S0040,15,completed,2024-08-12
41,S0041,15,failed,2024-08-13
42,S0042,15,completed,2024-08-14
43,S0043,16,completed,2024-08-14
44,S0044,16,completed,2024-08-15
45,S0045,17,completed,2024-08-12
46,S0046,17,completed,2024-08-13
47,S0047,18,completed,2024-08-14
48,S0048,18,completed,2024-08-15
