section_id,course_id,term_id,instructor_id,section_number,capacity
1,1001,202301,101,01,35
2,1002,202301,102,01,28
3,2001,202301,103,01,40
4,3001,202301,104,01,32
5,1001,202308,101,01,38
6,1003,202308,102,01,30
7,2002,202308,103,01,34
8,3002,202308,104,01,28
9,4001,202308,105,01,36
10,1002,202401,102,01,30
11,1003,202401,101,01,32
12,2001,202401,103,01,42
13,5001,202401,106,01,30
14,1001,202408,101,01,40
15,1003,202408,102,01,34
16,3002,202408,104,01,30
17,4001,202408,105,01,38
18,5001,202408,106,01,32
